"GEO_ID","NAME","B01003_001E","B01003_001M","B01003_001MA","B01003_001EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total",
"8600000US77650","ZCTA5 77650","1930","598","null","null",
"8600000US77651","ZCTA5 77651","12729","32","null","null",
"8600000US77655","ZCTA5 77655","264","76","null","null",
"8600000US77656","ZCTA5 77656","16744","1152","null","null",
"8600000US77657","ZCTA5 77657","21323","1089","null","null",
"8600000US77659","ZCTA5 77659","5649","778","null","null",
"8600000US77660","ZCTA5 77660","1589","672","null","null",
"8600000US77661","ZCTA5 77661","1292","740","null","null",
"8600000US77662","ZCTA5 77662","27587","1249","null","null",
"8600000US77663","ZCTA5 77663","720","397","null","null",
"8600000US77664","ZCTA5 77664","2872","564","null","null",
"8600000US77665","ZCTA5 77665","5857","974","null","null",
"8600000US77701","ZCTA5 77701","14005","1171","null","null",
"8600000US77702","ZCTA5 77702","3334","641","null","null",
"8600000US77703","ZCTA5 77703","13134","1430","null","null",
"8600000US77705","ZCTA5 77705","40224","1782","null","null",
"8600000US77706","ZCTA5 77706","29707","1482","null","null",
"8600000US77707","ZCTA5 77707","18867","1770","null","null",
"8600000US77708","ZCTA5 77708","11385","994","null","null",
"8600000US77713","ZCTA5 77713","13867","1227","null","null",
"8600000US77801","ZCTA5 77801","14853","1093","null","null",
"8600000US77802","ZCTA5 77802","25257","1119","null","null",
"8600000US77803","ZCTA5 77803","34026","1339","null","null",
"8600000US77807","ZCTA5 77807","11052","1022","null","null",
"8600000US77808","ZCTA5 77808","12248","1203","null","null",
"8600000US77830","ZCTA5 77830","3007","611","null","null",
"8600000US77831","ZCTA5 77831","2847","538","null","null",
"8600000US77833","ZCTA5 77833","28507","775","null","null",
"8600000US77835","ZCTA5 77835","3121","699","null","null",
"8600000US77836","ZCTA5 77836","12516","631","null","null",
"8600000US77837","ZCTA5 77837","1873","304","null","null",
"8600000US77840","ZCTA5 77840","59700","1792","null","null",
"8600000US77845","ZCTA5 77845","68757","1963","null","null",
"8600000US77853","ZCTA5 77853","1189","307","null","null",
"8600000US77855","ZCTA5 77855","218","270","null","null",
"8600000US77856","ZCTA5 77856","5492","574","null","null",
"8600000US77857","ZCTA5 77857","767","167","null","null",
"8600000US77859","ZCTA5 77859","6340","410","null","null",
"8600000US77861","ZCTA5 77861","2135","495","null","null",
"8600000US77864","ZCTA5 77864","7824","605","null","null",
"8600000US77865","ZCTA5 77865","2154","545","null","null",
"8600000US77867","ZCTA5 77867","315","157","null","null",
"8600000US77868","ZCTA5 77868","18344","1618","null","null",
"8600000US77871","ZCTA5 77871","3009","524","null","null",
"8600000US77872","ZCTA5 77872","2178","413","null","null",
"8600000US77873","ZCTA5 77873","1272","343","null","null",
"8600000US77876","ZCTA5 77876","246","188","null","null",
"8600000US77878","ZCTA5 77878","312","149","null","null",
"8600000US77879","ZCTA5 77879","5357","638","null","null",
"8600000US77880","ZCTA5 77880","1800","500","null","null",
"8600000US77901","ZCTA5 77901","42620","1321","null","null",
"8600000US77904","ZCTA5 77904","28838","1325","null","null",
"8600000US77905","ZCTA5 77905","15279","912","null","null",
"8600000US77950","ZCTA5 77950","157","59","null","null",
"8600000US77951","ZCTA5 77951","1534","530","null","null",
"8600000US77954","ZCTA5 77954","11047","380","null","null",
"8600000US77957","ZCTA5 77957","8454","411","null","null",
"8600000US77960","ZCTA5 77960","62","69","null","null",
"8600000US77961","ZCTA5 77961","138","93","null","null",
"8600000US77962","ZCTA5 77962","3309","551","null","null",
"8600000US77963","ZCTA5 77963","5733","379","null","null",
"8600000US77964","ZCTA5 77964","7874","426","null","null",
"8600000US77968","ZCTA5 77968","3142","517","null","null",
"8600000US77969","ZCTA5 77969","177","120","null","null",
"8600000US77970","ZCTA5 77970","337","147","null","null",
"8600000US77971","ZCTA5 77971","1227","466","null","null",
"8600000US77973","ZCTA5 77973","25","39","null","null",
"8600000US77974","ZCTA5 77974","448","264","null","null",
"8600000US77975","ZCTA5 77975","1722","323","null","null",
"8600000US77976","ZCTA5 77976","38","30","null","null",
"8600000US77977","ZCTA5 77977","513","244","null","null",
"8600000US77978","ZCTA5 77978","576","195","null","null",
"8600000US77979","ZCTA5 77979","17295","536","null","null",
"8600000US77982","ZCTA5 77982","1139","453","null","null",
"8600000US77983","ZCTA5 77983","2414","499","null","null",
"8600000US77984","ZCTA5 77984","4129","425","null","null",
"8600000US77987","ZCTA5 77987","218","82","null","null",
"8600000US77988","ZCTA5 77988","356","310","null","null",
"8600000US77990","ZCTA5 77990","788","205","null","null",
"8600000US77991","ZCTA5 77991","631","441","null","null",
"8600000US77993","ZCTA5 77993","87","79","null","null",
"8600000US77994","ZCTA5 77994","424","195","null","null",
"8600000US77995","ZCTA5 77995","10731","813","null","null",
"8600000US78001","ZCTA5 78001","0","14","null","null",
"8600000US78002","ZCTA5 78002","5758","1195","null","null",
"8600000US78003","ZCTA5 78003","10129","839","null","null",
"8600000US78004","ZCTA5 78004","1328","486","null","null",
"8600000US78005","ZCTA5 78005","1176","559","null","null",
"8600000US78006","ZCTA5 78006","37568","1384","null","null",
"8600000US78007","ZCTA5 78007","198","116","null","null",
"8600000US78008","ZCTA5 78008","351","286","null","null",
"8600000US78009","ZCTA5 78009","7632","1039","null","null",
"8600000US78010","ZCTA5 78010","4224","767","null","null",
"8600000US78011","ZCTA5 78011","1574","470","null","null",
"8600000US78012","ZCTA5 78012","227","124","null","null",
"8600000US78013","ZCTA5 78013","6210","780","null","null",
"8600000US78014","ZCTA5 78014","5510","461","null","null",
"8600000US78015","ZCTA5 78015","17187","1728","null","null",
"8600000US78016","ZCTA5 78016","10940","1156","null","null",
"8600000US78017","ZCTA5 78017","6120","443","null","null",
"8600000US78019","ZCTA5 78019","2111","497","null","null",
"8600000US78021","ZCTA5 78021","158","167","null","null",
"8600000US78022","ZCTA5 78022","4082","320","null","null",
"8600000US78023","ZCTA5 78023","29847","1631","null","null",
"8600000US78024","ZCTA5 78024","1466","379","null","null",
"8600000US78025","ZCTA5 78025","4860","820","null","null",
"8600000US78026","ZCTA5 78026","7158","747","null","null",
"8600000US78027","ZCTA5 78027","990","540","null","null",
"8600000US78028","ZCTA5 78028","40058","887","null","null",
"8600000US78029","ZCTA5 78029","0","14","null","null",
"8600000US78039","ZCTA5 78039","2309","706","null","null",
"8600000US78040","ZCTA5 78040","39997","2343","null","null",
"8600000US78041","ZCTA5 78041","47207","2601","null","null",
"8600000US78043","ZCTA5 78043","46141","3061","null","null",
"8600000US78044","ZCTA5 78044","600","246","null","null",
"8600000US78045","ZCTA5 78045","67981","3461","null","null",
"8600000US78046","ZCTA5 78046","71726","3386","null","null",
"8600000US78050","ZCTA5 78050","682","314","null","null",
"8600000US78052","ZCTA5 78052","6128","986","null","null",
"8600000US78055","ZCTA5 78055","2120","444","null","null",
"8600000US78056","ZCTA5 78056","2024","376","null","null",
"8600000US78057","ZCTA5 78057","520","309","null","null",
"8600000US78058","ZCTA5 78058","763","245","null","null",
"8600000US78059","ZCTA5 78059","5327","950","null","null",
"8600000US78060","ZCTA5 78060","0","14","null","null",
"8600000US78061","ZCTA5 78061","12566","545","null","null",
"8600000US78063","ZCTA5 78063","9462","787","null","null",
"8600000US78064","ZCTA5 78064","16722","1176","null","null",
"8600000US78065","ZCTA5 78065","11134","1091","null","null",
"8600000US78066","ZCTA5 78066","937","382","null","null",
"8600000US78067","ZCTA5 78067","615","323","null","null",
"8600000US78069","ZCTA5 78069","6187","1107","null","null",
"8600000US78070","ZCTA5 78070","15537","1275","null","null",
"8600000US78071","ZCTA5 78071","4394","412","null","null",
"8600000US78072","ZCTA5 78072","508","174","null","null",
"8600000US78073","ZCTA5 78073","8897","1369","null","null",
"8600000US78075","ZCTA5 78075","249","191","null","null",
"8600000US78076","ZCTA5 78076","13279","416","null","null",
"8600000US78101","ZCTA5 78101","7434","1427","null","null",
"8600000US78102","ZCTA5 78102","28253","624","null","null",
"8600000US78104","ZCTA5 78104","176","103","null","null",
"8600000US78107","ZCTA5 78107","316","103","null","null",
"8600000US78108","ZCTA5 78108","43579","1596","null","null",
"8600000US78109","ZCTA5 78109","39424","1073","null","null",
"8600000US78112","ZCTA5 78112","8725","626","null","null",
"8600000US78113","ZCTA5 78113","3253","446","null","null",
"8600000US78114","ZCTA5 78114","24463","1075","null","null",
"8600000US78116","ZCTA5 78116","331","153","null","null",
"8600000US78117","ZCTA5 78117","512","254","null","null",
"8600000US78118","ZCTA5 78118","4418","302","null","null",
"8600000US78119","ZCTA5 78119","6960","383","null","null",
"8600000US78121","ZCTA5 78121","12901","1049","null","null",
"8600000US78122","ZCTA5 78122","427","225","null","null",
"8600000US78123","ZCTA5 78123","2801","818","null","null",
"8600000US78124","ZCTA5 78124","6553","849","null","null",
"8600000US78125","ZCTA5 78125","39","23","null","null",
"8600000US78130","ZCTA5 78130","79786","1785","null","null",
"8600000US78132","ZCTA5 78132","33368","1839","null","null",
"8600000US78133","ZCTA5 78133","19405","1282","null","null",
"8600000US78140","ZCTA5 78140","3457","308","null","null",
"8600000US78141","ZCTA5 78141","767","229","null","null",
"8600000US78142","ZCTA5 78142","106","85","null","null",
"8600000US78143","ZCTA5 78143","199","206","null","null",
"8600000US78144","ZCTA5 78144","14","22","null","null",
"8600000US78145","ZCTA5 78145","85","76","null","null",
"8600000US78146","ZCTA5 78146","834","345","null","null",
"8600000US78147","ZCTA5 78147","1805","374","null","null",
"8600000US78148","ZCTA5 78148","22955","814","null","null",
"8600000US78150","ZCTA5 78150","41","26","null","null",
"8600000US78151","ZCTA5 78151","1705","293","null","null",
"8600000US78152","ZCTA5 78152","2569","292","null","null",
"8600000US78154","ZCTA5 78154","41171","1507","null","null",
"8600000US78155","ZCTA5 78155","50832","1449","null","null",
"8600000US78159","ZCTA5 78159","1033","270","null","null",
"8600000US78160","ZCTA5 78160","5776","867","null","null",
"8600000US78161","ZCTA5 78161","550","190","null","null",
"8600000US78162","ZCTA5 78162","393","219","null","null",
"8600000US78163","ZCTA5 78163","13937","1222","null","null",
"8600000US78164","ZCTA5 78164","3990","481","null","null",
"8600000US78201","ZCTA5 78201","50336","3104","null","null",
"8600000US78202","ZCTA5 78202","11675","1210","null","null",
"8600000US78203","ZCTA5 78203","6162","1021","null","null",
"8600000US78204","ZCTA5 78204","12850","1663","null","null",
"8600000US78205","ZCTA5 78205","1503","309","null","null",
"8600000US78207","ZCTA5 78207","57700","3608","null","null",
"8600000US78208","ZCTA5 78208","4549","599","null","null",
"8600000US78209","ZCTA5 78209","44706","2157","null","null",
"8600000US78210","ZCTA5 78210","37061","2413","null","null",
"8600000US78211","ZCTA5 78211","34539","3144","null","null",
"8600000US78212","ZCTA5 78212","27940","1579","null","null",
"8600000US78213","ZCTA5 78213","45124","2485","null","null",
"8600000US78214","ZCTA5 78214","26805","2022","null","null",
"8600000US78215","ZCTA5 78215","2925","391","null","null",
"8600000US78216","ZCTA5 78216","45325","2510","null","null",
"8600000US78217","ZCTA5 78217","35257","2532","null","null",
"8600000US78218","ZCTA5 78218","38749","3207","null","null",
"8600000US78219","ZCTA5 78219","17705","1269","null","null",
"8600000US78220","ZCTA5 78220","17095","1638","null","null",
"8600000US78221","ZCTA5 78221","42535","2979","null","null",
"8600000US78222","ZCTA5 78222","25935","2342","null","null",
"8600000US78223","ZCTA5 78223","56484","2796","null","null",
"8600000US78224","ZCTA5 78224","22569","1928","null","null",
"8600000US78225","ZCTA5 78225","15147","1673","null","null",
"8600000US78226","ZCTA5 78226","8012","1180","null","null",
"8600000US78227","ZCTA5 78227","49326","2795","null","null",
"8600000US78228","ZCTA5 78228","61441","3164","null","null",
"8600000US78229","ZCTA5 78229","35589","2185","null","null",
"8600000US78230","ZCTA5 78230","45661","2287","null","null",
"8600000US78231","ZCTA5 78231","10132","1340","null","null",
"8600000US78232","ZCTA5 78232","39638","2306","null","null",
"8600000US78233","ZCTA5 78233","48060","2717","null","null",
"8600000US78234","ZCTA5 78234","4917","696","null","null",
"8600000US78235","ZCTA5 78235","1471","307","null","null",
"8600000US78236","ZCTA5 78236","6760","753","null","null",
"8600000US78237","ZCTA5 78237","41247","2837","null","null",
"8600000US78238","ZCTA5 78238","27027","2220","null","null",
"8600000US78239","ZCTA5 78239","26966","1922","null","null",
"8600000US78240","ZCTA5 78240","61937","3646","null","null",
"8600000US78242","ZCTA5 78242","35159","2518","null","null",
"8600000US78243","ZCTA5 78243","419","48","null","null",
"8600000US78244","ZCTA5 78244","33988","2673","null","null",
"8600000US78245","ZCTA5 78245","76392","3241","null","null",
"8600000US78247","ZCTA5 78247","53597","2549","null","null",
"8600000US78248","ZCTA5 78248","13822","1034","null","null",
"8600000US78249","ZCTA5 78249","61712","2495","null","null",
"8600000US78250","ZCTA5 78250","62951","3672","null","null",
"8600000US78251","ZCTA5 78251","65885","4679","null","null",
"8600000US78252","ZCTA5 78252","11479","1412","null","null",
"8600000US78253","ZCTA5 78253","41900","2160","null","null",
"8600000US78254","ZCTA5 78254","61141","3772","null","null",
"8600000US78255","ZCTA5 78255","15064","1272","null","null",
"8600000US78256","ZCTA5 78256","11435","1874","null","null",
"8600000US78257","ZCTA5 78257","8113","1276","null","null",
"8600000US78258","ZCTA5 78258","47146","3729","null","null",
"8600000US78259","ZCTA5 78259","26591","2054","null","null",
"8600000US78260","ZCTA5 78260","26164","1753","null","null",
"8600000US78261","ZCTA5 78261","16518","1327","null","null",
"8600000US78263","ZCTA5 78263","3561","562","null","null",
"8600000US78264","ZCTA5 78264","10603","1569","null","null",
"8600000US78266","ZCTA5 78266","6592","674","null","null",
"8600000US78330","ZCTA5 78330","633","212","null","null",
"8600000US78332","ZCTA5 78332","28301","1115","null","null",
"8600000US78335","ZCTA5 78335","0","14","null","null",
"8600000US78336","ZCTA5 78336","12533","552","null","null",
"8600000US78338","ZCTA5 78338","0","14","null","null",
"8600000US78339","ZCTA5 78339","476","255","null","null",
"8600000US78340","ZCTA5 78340","437","155","null","null",
"8600000US78341","ZCTA5 78341","2318","440","null","null",
"8600000US78342","ZCTA5 78342","342","249","null","null",
"8600000US78343","ZCTA5 78343","4627","328","null","null",
"8600000US78344","ZCTA5 78344","419","208","null","null",
"8600000US78349","ZCTA5 78349","598","234","null","null",
"8600000US78351","ZCTA5 78351","519","324","null","null",
"8600000US78352","ZCTA5 78352","256","298","null","null",
"8600000US78353","ZCTA5 78353","320","177","null","null",
"8600000US78355","ZCTA5 78355","7222","264","null","null",
"8600000US78357","ZCTA5 78357","2695","61","null","null",
