Date,Time,Address,Zipcode,Category,ProblemType,PatrolDistrict,Substation,IncidentNumber,LAT,LON,ResponseDate,URL,Color,About
08/17/22, 1:34:34,8500 Ih 35 S,78211,Crimes Against Person Calls,Assault In Progress,6140,SOUTH,SAPD-2022-1074677,29.340481,-98.55423,1660761274000,http://www.sanantonio.gov/sapd/Calls.aspx,Red,a tbd link
08/17/22, 1:34:26,3000 Goliad Rd,78223,Traffic Calls,Minor Accident,6270,SOUTH,SAPD-2022-1074675,29.352721,-98.431013,1660761266000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:34:01,Mccullough Ave / E Rector Dr,78216,Traffic Calls,Minor Accident,3320,NORTH,SAPD-2022-1074669,29.517264,-98.491736,1660761241000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:31:54,STA00 HWY 151 SB,78251,Traffic Calls,Traffic Related,5360,WEST,SAPD-2022-1074655,29.458081,-98.689339,1660761114000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:33:32,2400 Sw Loop 410,78227-2543,Other Calls,Suspicious Person,5170,WEST,SAPD-2022-1074665,29.406784,-98.64856,1660761212000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:34:05,Us Hwy 281 N Nb / N St Mary's St,78212,Other Calls,Welfare Check,2220,CENTRAL,SAPD-2022-1074671,29.454794,-98.481774,1660761245000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:34:30,Us Hwy 281 N / N St Mary's St,78212,Other Calls,Welfare Check,2230,CENTRAL,SAPD-2022-1074676,29.45513,-98.481231,1660761270000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:33:04,FAIRGROUNDS PKWY,78238,Crimes Against Person Calls,Suspicious Vehicle,5270,WEST,SAPD-2022-1074662,29.461653,-98.621263,1660761184000,http://www.sanantonio.gov/sapd/Calls.aspx,Red,a tbd link
08/17/22, 1:36:04,Babcock Rd / W Hausman Rd,78249,Traffic Calls,Major Accident,7250,PRUE,SAPD-2022-1074684,29.572059,-98.631516,1660761364000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:34:43,10900 Culebra Rd,78253,Other Calls,Assist the Public,5350,WEST,SAPD-2022-1074678,29.49552,-98.708366,1660761283000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:34:13,Cable Ranch Rd / Vista West Dr,78245,Traffic Calls,Traffic Related,5330,WEST,SAPD-2022-1074682,29.433713,-98.653522,1660761253000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:33:28,8400-8498 BUCKHORN,78247,Traffic Calls,Traffic Related,3220,NORTH,SAPD-2022-1074664,29.547911,-98.445325,1660761208000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:33:38,3700-3798 SW MILITARY DR,78211,Traffic Calls,Traffic Related,6320,SOUTH,SAPD-2022-1074666,29.358552,-98.562516,1660761218000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:34:31,9700 Ih 35 N,78233-6610,Crimes Against Person Calls,Assault In Progress,3230,NORTH,SAPD-2022-1074674,29.5283,-98.393522,1660761271000,http://www.sanantonio.gov/sapd/Calls.aspx,Red,a tbd link
08/17/22, 1:33:52,801-899 BYNUM AVE,78211,Traffic Calls,Traffic Related,6320,SOUTH,SAPD-2022-1074667,29.357503,-98.562024,1660761232000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:36:04,3000 Sw Military Dr,78224,Other Calls,Disturbance,6330,SOUTH,SAPD-2022-1074686,29.357051,-98.546288,1660761364000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:34:45,1100 San Pedro Ave,78212,Other Calls,Disturbance,2210,CENTRAL,SAPD-2022-1074679,29.444024,-98.499339,1660761285000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:38:33,4400 Rio D'oro,78233,Other Calls,Disturbance,3210,NORTH,SAPD-2022-1074696,29.552003,-98.40455,1660761513000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:35:45,100 W Rampart,78216,Traffic Calls,Minor Accident,3320,NORTH,SAPD-2022-1074683,29.51339,-98.495271,1660761345000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:40:09,4000 Mas Frio,78223,Other Calls,Miscellaneous,4260,EAST,SAPD-2022-1074700,29.349125,-98.416677,1660761609000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:37:45,6700 N New Braunfels Ave,78209,Property Crime Calls,Theft of Vehicle,3340,NORTH,SAPD-2022-1074692,29.492249,-98.459317,1660761465000,http://www.sanantonio.gov/sapd/Calls.aspx,Green,a tbd link
08/17/22, 1:39:14,1000 Ne Loop 410,78209,Crimes Against Person Calls,Assault In Progress,3360,NORTH,SAPD-2022-1074702,29.517233,-98.457903,1660761554000,http://www.sanantonio.gov/sapd/Calls.aspx,Red,a tbd link
08/17/22, 1:36:15,10 COURTSIDE CIR,78216,Other Calls,Ordinance Violation,7240,PRUE,SAPD-2022-1074685,29.579047,-98.508564,1660761375000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:37:30,2100 Se Loop 410,78220,Traffic Calls,Accident Private Property,4240,EAST,SAPD-2022-1074693,29.400436,-98.386348,1660761450000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link
08/17/22, 1:37:16,900 W Ashby Place,78212,Other Calls,Disturbance,2210,CENTRAL,SAPD-2022-1074690,29.449126,-98.504469,1660761436000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:38:09,6200 Roxbury Dr,78238,Property Crime Calls,Burglary Vehicle,5310,WEST,SAPD-2022-1074694,29.477523,-98.610708,1660761489000,http://www.sanantonio.gov/sapd/Calls.aspx,Green,a tbd link
08/17/22, 1:37:09,2800 BROADWAY,78209,Other Calls,Patrol By,2230,CENTRAL,SAPD-2022-1074688,29.453045,-98.472492,1660761429000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:46:06,1200 N Loop 1604 W,78258,Other Calls,Visitation Violation,3170,NORTH,SAPD-2022-1074739,29.609444,-98.51,1660761966000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:37:11,1400 PROBANDT ST,78204,Other Calls,Patrol By,6210,SOUTH,SAPD-2022-1074689,29.392266,-98.49952,1660761431000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:40:19,7000 Culebra Rd,78238,Other Calls,Information,5160,WEST,SAPD-2022-1074704,29.45009,-98.626662,1660761619000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link
08/17/22, 1:40:17,2400 Sw Loop 410,78227-2543,Property Crime Calls,Theft,5170,WEST,SAPD-2022-1074701,29.406784,-98.64856,1660761617000,http://www.sanantonio.gov/sapd/Calls.aspx,Green,a tbd link
